date,rolling_average_cases_per_100k_centered,region
2021-05-05,12.33533006670515,Nationwide
2021-05-06,12.00303788088136,Nationwide
2021-05-07,11.574256922828186,Nationwide
2021-05-08,11.182948600268697,Nationwide
2021-05-09,10.829199957652351,Nationwide
2021-05-10,10.513881439473783,Nationwide
2021-05-11,10.313983861282734,Nationwide
2021-05-12,9.997359676362226,Nationwide
2021-05-13,9.854998479266008,Nationwide
2021-05-14,9.549559506101454,Nationwide
2021-05-15,9.266447434224078,Nationwide
2021-05-16,8.847023754488143,Nationwide
2021-05-17,8.541976481346172,Nationwide
2021-05-18,7.97605699316454,Nationwide
2021-05-19,7.54418595715544,Nationwide
2021-05-20,7.429200239415236,Nationwide
2021-05-21,7.299678098614764,Nationwide
2021-05-22,7.167283490982023,Nationwide
2021-05-23,6.910110665044528,Nationwide
2021-05-24,6.60715245868966,Nationwide
2021-05-25,6.431975504146012,Nationwide
2021-05-26,6.163051677531053,Nationwide
2021-05-27,5.868014516077291,Nationwide
2021-05-28,5.027992056537671,Nationwide
2021-05-29,4.964884830677226,Nationwide
2021-05-30,4.701183671030029,Nationwide
2021-05-31,4.502722326255113,Nationwide
2021-06-01,4.243895655777825,Nationwide
2021-06-02,4.262392601288646,Nationwide
2021-06-03,4.16681779577862,Nationwide
2021-06-04,4.568658496723095,Nationwide
2021-06-05,4.131216615948383,Nationwide
2021-06-06,4.23397258853908,Nationwide
2021-06-07,4.042387755271715,Nationwide
2021-06-08,4.043736944238387,Nationwide
2021-06-09,3.83326346543762,Nationwide
2021-06-10,3.812459842016039,Nationwide
2021-06-11,3.83195779869568,Nationwide
2021-06-12,3.8181612534558447,Nationwide
2021-06-13,3.535179748252664,Nationwide
2021-06-14,3.429377219930773,Nationwide
2021-06-15,3.221689163512812,Nationwide
2021-06-16,3.2023217735073644,Nationwide
2021-06-17,3.1454382257835016,Nationwide
2021-06-18,3.131075891622159,Nationwide
2021-06-19,3.067228787941281,Nationwide
2021-06-20,3.1258097024296667,Nationwide
2021-06-21,3.1823450723556794,Nationwide
2021-06-22,3.3946464845951616,Nationwide
2021-06-23,3.3832436617155506,Nationwide
2021-06-24,3.379805405961775,Nationwide
2021-06-25,3.530131170183828,Nationwide
2021-06-26,3.612779874948645,Nationwide
2021-06-27,3.6869417458908496,Nationwide
2021-06-28,3.762104628001877,Nationwide
2021-06-29,4.202941242305633,Nationwide
2021-06-30,4.195716553000231,Nationwide
2021-07-01,4.220219565523976,Nationwide
2021-07-02,3.746219015974938,Nationwide
2021-07-03,4.255429045331631,Nationwide
2021-07-04,4.5224378940584105,Nationwide
2021-07-05,4.902212827064095,Nationwide
2021-07-06,5.692837561533642,Nationwide
2021-07-07,5.842162314586874,Nationwide
2021-07-08,6.005196568430479,Nationwide
2021-07-09,7.037021472361118,Nationwide
2021-07-10,7.1575345126422025,Nationwide
2021-07-11,7.668964175460196,Nationwide
2021-07-12,7.999907172317314,Nationwide
2021-07-13,12.388383658652655,Nationwide
2021-07-14,12.63737430634066,Nationwide
2021-07-15,12.84436600716292,Nationwide
2021-07-16,13.76812522708564,Nationwide
2021-07-17,14.303622680180064,Nationwide
2021-07-18,15.036493422431125,Nationwide
